Date,Timestamp,Open,High,Low,Close,Volume
20030504,00:00:00,1.12284,1.12338,1.1216,1.12169,84391.8001959026
20030505,00:00:00,1.12161,1.13009,1.12014,1.12924,1276005.60189171
20030506,00:00:00,1.12921,1.14506,1.12723,1.14234,1281467.00178798
20030507,00:00:00,1.14218,1.14323,1.13265,1.13494,1272596.60205261
20030508,00:00:00,1.13507,1.15077,1.13006,1.1482,1266581.30202137
20030509,00:00:00,1.14831,1.15366,1.14346,1.14877,1188960.30183792
20030511,00:00:00,1.14888,1.15645,1.14888,1.15605,84528.5999780744
20030512,00:00:00,1.15632,1.16229,1.15225,1.15559,1268230.90162849
20030513,00:00:00,1.15544,1.15591,1.1462,1.15277,1268298.80178066
20030514,00:00:00,1.15265,1.15352,1.14661,1.1477,1277767.10168454
20030515,00:00:00,1.14767,1.1487,1.13702,1.13838,1277082.60165602
20030516,00:00:00,1.13825,1.15766,1.13675,1.15705,1185664.00155446
20030518,00:00:00,1.16564,1.16841,1.16281,1.16576,87891.1000756919
20030519,00:00:00,1.16546,1.17353,1.16205,1.1641,1273931.40199779
20030520,00:00:00,1.16404,1.17364,1.15998,1.17321,1278140.20152526
20030521,00:00:00,1.17312,1.17437,1.16226,1.16404,1269465.60157213
20030522,00:00:00,1.16424,1.17266,1.16181,1.16908,1276182.10143052
20030523,00:00:00,1.16892,1.18363,1.16635,1.18236,1190819.70132338
20030525,00:00:00,1.182,1.18332,1.18144,1.18177,88507.1000572294
20030526,00:00:00,1.18158,1.18744,1.17955,1.18567,1276787.10196948
20030527,00:00:00,1.18548,1.19286,1.1807,1.18102,1268165.40232109
20030528,00:00:00,1.18107,1.18439,1.17037,1.17516,1277431.5018027
20030529,00:00:00,1.17522,1.19144,1.16909,1.18922,1282574.80157444
20030530,00:00:00,1.18908,1.18963,1.17419,1.17661,1183575.20188954
20030601,00:00:00,1.17079,1.17464,1.17058,1.17203,88982.0000701398
20030602,00:00:00,1.172,1.17671,1.16504,1.17441,1154189.7017148
20030603,00:00:00,1.17411,1.17773,1.16858,1.17337,1274435.30190639
20030604,00:00:00,1.17324,1.17463,1.16321,1.16444,1274721.00211489
20030605,00:00:00,1.16448,1.1885,1.16273,1.18397,1278773.50151901
20030606,00:00:00,1.18391,1.18772,1.16829,1.16971,1195938.8019875
20030608,00:00:00,1.1687,1.17102,1.16839,1.16989,86705.70005548
20030609,00:00:00,1.16983,1.17846,1.16548,1.17094,1272847.90193935
20030610,00:00:00,1.17087,1.174,1.1662,1.16773,1270742.30185211
20030611,00:00:00,1.16755,1.17805,1.16571,1.17571,1260827.70171769
20030612,00:00:00,1.1755,1.18038,1.1702,1.17693,1269766.2017401
20030613,00:00:00,1.17674,1.18758,1.17338,1.186,1193860.40161435
20030615,00:00:00,1.18624,1.18759,1.18606,1.18759,86018.0001536906
20030616,00:00:00,1.18763,1.19263,1.18125,1.18178,1269543.5019103
20030617,00:00:00,1.18178,1.18652,1.1767,1.17831,1267648.70193243
20030618,00:00:00,1.1781,1.18016,1.16604,1.16817,1264011.40164226
20030619,00:00:00,1.16816,1.17372,1.15826,1.17041,1267001.80207105
20030620,00:00:00,1.17026,1.17333,1.15501,1.1601,1186557.90188546
20030622,00:00:00,1.15955,1.15997,1.15707,1.1585,84990.6001426578
20030623,00:00:00,1.15839,1.16028,1.15069,1.1549,1266922.10153684
20030624,00:00:00,1.15488,1.15801,1.1475,1.14959,1278849.80230394
20030625,00:00:00,1.14968,1.16205,1.14937,1.15365,1276287.10191689
20030626,00:00:00,1.15352,1.15425,1.14105,1.1423,1271366.40191157
20030627,00:00:00,1.14231,1.14665,1.13984,1.14224,1186311.90209529
20030629,00:00:00,1.14238,1.1436,1.1419,1.14234,83872.100101009
20030630,00:00:00,1.14228,1.1532,1.13964,1.15196,1280180.10205786
20030701,00:00:00,1.15201,1.16069,1.15045,1.15613,1273960.20196709
20030702,00:00:00,1.15593,1.15668,1.15035,1.153,1270346.10187985
20030703,00:00:00,1.15282,1.15387,1.14316,1.14915,1274444.10190976
20030704,00:00:00,1.14888,1.14933,1.14462,1.14862,1197148.60132247
20030706,00:00:00,1.148,1.14854,1.14653,1.14663,85089.5001977086
20030707,00:00:00,1.14641,1.14693,1.1308,1.13213,1273448.0013914
20030708,00:00:00,1.13219,1.13498,1.12577,1.13135,1256787.90189558
20030709,00:00:00,1.13165,1.1365,1.13029,1.13362,1278480.60175939
20030710,00:00:00,1.13356,1.13914,1.13085,1.13593,1265136.70143853
20030711,00:00:00,1.13552,1.13601,1.12749,1.1296,1183168.60177538
20030713,00:00:00,1.12864,1.1297,1.12747,1.12788,82410.9000613987
20030714,00:00:00,1.12776,1.1307,1.1241,1.12702,1271514.9019558
20030715,00:00:00,1.12701,1.13358,1.1155,1.11762,1267089.60170613
20030716,00:00:00,1.11763,1.12305,1.11113,1.12269,1272513.50220016
20030717,00:00:00,1.12243,1.12477,1.11556,1.12323,1266487.3019799
20030718,00:00:00,1.12336,1.13022,1.11701,1.12716,1194355.6017212
20030720,00:00:00,1.12615,1.12673,1.12434,1.12452,84336.7002387494
20030721,00:00:00,1.12439,1.1356,1.12401,1.13349,1274002.3020959
20030722,00:00:00,1.13309,1.13713,1.13044,1.1325,1253745.2018149
20030723,00:00:00,1.13224,1.1491,1.13119,1.1483,1271592.10208619
20030724,00:00:00,1.14842,1.15091,1.1422,1.14695,1271439.50223817
20030725,00:00:00,1.14668,1.15477,1.14425,1.15049,1190857.00191946
20030727,00:00:00,1.15014,1.15124,1.14716,1.14959,86927.9000385404
20030728,00:00:00,1.14939,1.15172,1.14511,1.14842,1273846.70199384
20030729,00:00:00,1.14852,1.15365,1.14268,1.14413,1273543.40168884
20030730,00:00:00,1.1441,1.14509,1.13338,1.13476,1267444.60181232
20030731,00:00:00,1.13501,1.13611,1.12222,1.12363,1264844.50186391
20030801,00:00:00,1.1235,1.12706,1.11338,1.12531,1132584.60183893
20030803,00:00:00,1.12773,1.12851,1.1263,1.12678,85036.7001154125
20030804,00:00:00,1.12672,1.13734,1.12564,1.13523,1269311.50198212
20030805,00:00:00,1.13518,1.13969,1.13054,1.13908,1283456.50182112
20030806,00:00:00,1.13868,1.1425,1.13238,1.13364,1267238.10193922
20030807,00:00:00,1.13375,1.14138,1.13173,1.1364,1272338.20205843
20030808,00:00:00,1.13632,1.13774,1.12861,1.13053,1179078.201764
20030811,00:00:00,1.12882,1.13788,1.12615,1.13544,1332321.00207116
20030812,00:00:00,1.13535,1.13709,1.12659,1.12727,1340615.1021989
20030813,00:00:00,1.12724,1.13302,1.12169,1.13093,1352524.00224788
20030814,00:00:00,1.13097,1.13365,1.12234,1.1265,1335924.70226035
20030815,00:00:00,1.12629,1.12868,1.12396,1.12633,1207938.90178008
20030817,00:00:00,1.1242,1.12675,1.12337,1.12614,68012.8000385165
20030818,00:00:00,1.12601,1.12672,1.11221,1.11382,1353761.20188789
20030819,00:00:00,1.11377,1.1147,1.10534,1.11293,1338473.80210048
20030820,00:00:00,1.11277,1.11397,1.10783,1.11084,1347231.70171504
20030821,00:00:00,1.11067,1.11088,1.08826,1.09295,1344975.30175842
20030822,00:00:00,1.09287,1.09445,1.0835,1.08731,1243191.50130007
20030824,00:00:00,1.08496,1.08695,1.08469,1.08551,92062.1000227928
20030825,00:00:00,1.08533,1.09169,1.07973,1.08265,1342775.10211194
20030826,00:00:00,1.08269,1.0908,1.07911,1.08739,1340140.10243781
20030827,00:00:00,1.08714,1.09288,1.08303,1.08512,1339286.40190978
20030828,00:00:00,1.08491,1.09114,1.08082,1.08791,1345976.20175216
20030829,00:00:00,1.08784,1.09964,1.08678,1.09817,1254845.80187108
20030831,00:00:00,1.09873,1.09938,1.09794,1.09887,88392.5001140535
20030901,00:00:00,1.09882,1.10125,1.09487,1.09576,1204219.60203077
20030902,00:00:00,1.09581,1.0961,1.07975,1.08022,1326005.00162736
20030903,00:00:00,1.08036,1.08715,1.07606,1.08167,1362868.10196064
20030904,00:00:00,1.08164,1.09485,1.08075,1.09305,1348508.6017504
20030905,00:00:00,1.09326,1.11116,1.0915,1.11019,1231784.80174203
20030907,00:00:00,1.10973,1.11043,1.10762,1.10892,98337.2000003755
20030908,00:00:00,1.10899,1.11282,1.10448,1.10653,1341294.7022298
20030909,00:00:00,1.10657,1.1239,1.10514,1.12168,1363170.50200632
20030910,00:00:00,1.12169,1.12347,1.11608,1.11811,1364766.80198911
20030911,00:00:00,1.11792,1.12695,1.11537,1.11831,1364460.90195517
20030912,00:00:00,1.11816,1.13208,1.11329,1.12883,1249724.20205392
20030914,00:00:00,1.12675,1.12779,1.12502,1.12748,90649.9000506997
20030915,00:00:00,1.12744,1.13082,1.12401,1.12766,1350359.30209759
20030916,00:00:00,1.12765,1.13165,1.11523,1.11632,1345838.70195635
20030917,00:00:00,1.11625,1.12989,1.11366,1.1275,1340349.80202129
20030918,00:00:00,1.1275,1.13414,1.12246,1.12482,1338139.40221517
20030919,00:00:00,1.12476,1.13823,1.12374,1.13762,1260608.2022792
20030921,00:00:00,1.14333,1.14954,1.14246,1.14568,95800.7999951541
20030922,00:00:00,1.14542,1.15031,1.14124,1.14694,1352392.70207568
20030923,00:00:00,1.1469,1.15233,1.1426,1.1438,1349430.80171406
20030924,00:00:00,1.14377,1.15034,1.14262,1.14814,1351906.20162456
20030925,00:00:00,1.14819,1.15321,1.14568,1.14667,1341406.6021319
20030926,00:00:00,1.14673,1.14965,1.14385,1.14577,1244986.70170939
20030928,00:00:00,1.14488,1.14656,1.14488,1.14593,91015.5000323951
20030929,00:00:00,1.14592,1.16366,1.13927,1.15753,1352743.00187159
20030930,00:00:00,1.15756,1.17323,1.15717,1.16738,1347019.60221928
20031001,00:00:00,1.1671,1.17327,1.16523,1.17151,1353190.8022062
20031002,00:00:00,1.17147,1.17668,1.16596,1.1676,1349787.30191989
20031003,00:00:00,1.16764,1.17193,1.15487,1.1578,1258758.60224767
20031005,00:00:00,1.15585,1.15943,1.15557,1.15893,86420.0000448227
20031006,00:00:00,1.15889,1.17212,1.15309,1.17121,1346179.20183004
20031007,00:00:00,1.17128,1.18098,1.1696,1.17741,1337950.90169124
20031008,00:00:00,1.17761,1.18399,1.17675,1.1821,1342844.40166527
20031009,00:00:00,1.18217,1.18588,1.1683,1.17344,1342475.70135422
20031010,00:00:00,1.17325,1.18461,1.17012,1.17928,1237419.20206584
20031012,00:00:00,1.18039,1.18138,1.17982,1.18103,79808.1999989152
20031013,00:00:00,1.18094,1.18113,1.16512,1.16904,1346379.20197703
20031014,00:00:00,1.169,1.17638,1.15803,1.17241,1337216.30212489
20031015,00:00:00,1.17202,1.17431,1.15889,1.16171,1352444.10232751
20031016,00:00:00,1.16172,1.16942,1.15721,1.15786,1332556.50192994
20031017,00:00:00,1.15775,1.16823,1.15515,1.16782,1244839.00218135
20031019,00:00:00,1.17028,1.1727,1.16852,1.16979,94603.8999803066
20031020,00:00:00,1.1696,1.16974,1.16,1.16264,1335044.30174112
20031021,00:00:00,1.16268,1.16991,1.16152,1.1649,1336706.80165917
20031022,00:00:00,1.16519,1.18276,1.16463,1.18177,1341201.10183588
20031023,00:00:00,1.18166,1.18434,1.17546,1.18201,1339291.60182868
20031024,00:00:00,1.18182,1.18546,1.17589,1.17767,1244182.5020624
